ship_state,revenue
MAHARASHTRA,11969951.0
KARNATAKA,9444102.0
TELANGANA,6129582.0
UTTAR PRADESH,5984442.
TAMIL NADU,5819762.0
DELHI,3809945.
KERALA,3304307.0
WEST BENGA,3104097.0
ANDHRA PRADESH,2803059.
HARYAN,2590070.
Gujarat,2428453.
RAJASTHAN,1527797.0
MADHYA PRADESH,1420799.0
BIHAR,1210115.0
ODISHA,1176690.0
PUNJAB,1058082.0
ASSAM,869367.0
UTTARAKHAND,855165.0
JHARKHAND,792287.0
GOA,565742.0
CHHATTISGARH,500663.0
HIMACHAL PRADESH,433622.0
JAMMU & KASHMIR,390140.0
MANIPU,194460.0
CHANDIGARH,183609.0
PUDUCHERRY,167828.0
ANDAMAN & NICOBAR,131044.0
NAGALAND,127469.0
SIKKIM,118908.0
MEGHALAYA,99031.0
Delhi,85127.0
TRIPURA,82083.0
ARUNACHAL PRADESH,81328.0
New Delh,43619.0
DADRA AND NAGAR,36762.0
Rajastha,35243.0
LADAKH,31229.0
MIZORA,31081.0
